Pressure (kg/cm2),Differential Pressure,T1,T2,T3,Flow(nm3/hr),Syngas Comp RPM,% Of H2,% of N2,% of CH4,% of Ammonia ,% of Ar,Target
190,4.6,518,464,465,360000,11725,63.27,22.78,7.25,3.47,3.26,0
190,4.6,518,464,465,360000,11725,63.27,22.8,7.26,3.44,3.26,0
191,5,520,466,467,365000,11880,62.73,22.33,7.58,3.61,3.8,0
200,5.5,518,466,465,365000,11881,61.18,23.93,7.58,3.58,3.75,1
190,5.1,517,464,464,365000,11802,61.22,25.01,7.41,3.14,3.23,0
196,5.5,517,465,466,365000,11880,60.94,24.08,7.72,3.45,3.77,0
191,5.1,518,465,466,365000,11880,62.36,23.64,7.31,3.2,3.5,0
190,5.2,517,464,465,360000,11801,61.08,24.92,7.31,3.44,3.26,0
200,5.5,519,466,467,370000,11958,62.04,23.23,7.62,3.49,3.59,1
190,5.2,517,464,465,360000,11801,61.08,24.93,7.3,3.45,3.25,0
195,5.1,518,465,466,365000,11801,64.3,21.73,7.21,3.55,3.22,0
190,4.6,518,464,465,360000,11725,63.25,22.79,7.24,3.45,3.26,0
192,5.5,517,466,467,365000,11880,60.36,25.03,7.37,3.42,3.8,0
195,5,518,465,466,365000,11801,62,23.6,7.57,3.59,3.24,0
195,5,518,465,466,365000,11801,62,23.57,7.56,3.61,3.27,0
195,5.2,518,466,466,366000,11802,62.9,22.53,7.69,3.62,3.27,0
195,5.1,518,465,466,365000,11801,64.31,21.73,7.18,3.55,3.21,0
200,5.5,519,466,467,370000,11881,62.09,22.98,7.42,3.6,3.91,1
185,4.6,516,463,464,358000,11725,62.96,23.47,7.14,3.21,3.26,0
190,4.9,518,465,466,365000,11802,62.76,23.32,7.44,3.21,3.29,0
200,5.5,519,465,466,365000,11881,62.43,22.38,7.82,3.58,3.73,1
200,5.5,518,466,466,365000,11881,61.75,22.96,7.89,3.6,3.77,1
190,4.5,518,464,465,360000,11725,64.22,21.72,7.34,3.48,3.25,0
185,4.6,516,463,464,358000,11725,62.93,23.46,7.16,3.23,3.26,0
195,5.5,519,467,467,370000,11802,60.73,25.01,7.38,3.6,3.27,0
190,4.8,518,465,466,360000,11725,62.38,23.77,7.16,3.47,3.25,0
191,5.1,518,465,466,365000,11880,62.36,23.6,7.32,3.19,3.5,0
198,5.4,517,466,467,365000,11802,60.9,24.73,7.4,3.38,3.6,0
190,5,516,463,464,360000,11802,61.51,24.57,7.45,3.2,3.28,0
195,5.3,520,466,467,365000,11880,61.83,23.17,7.75,3.47,3.79,0
190,5.6,519,467,467,365000,11881,63.11,22.26,7.29,3.57,3.75,0
191,5,520,466,467,365000,11880,62.73,22.32,7.56,3.59,3.8,0
195,5.2,518,464,465,365000,11880,62.24,22.94,7.75,3.43,3.67,0
197,5.3,517,466,466,365000,11801,61.29,24.29,7.49,3.36,3.55,0
200,5.5,518,466,466,365000,11881,61.74,22.96,7.9,3.61,3.79,1
195,5.2,518,466,466,366000,11802,62.89,22.52,7.7,3.62,3.27,0
198,5,519,464,464,365000,11880,63.68,21.37,7.5,3.5,3.96,0
190,4.8,518,465,466,360000,11725,62.37,23.78,7.16,3.48,3.24,0
198,5.4,518,465,466,370000,11881,61.83,23.12,7.54,3.51,4,0
200,5.7,519,466,467,370000,11958,61.29,24.24,7.51,3.41,3.54,1
190,4.6,518,464,465,360000,11725,63.27,22.78,7.25,3.45,3.25,0
185,5.1,521,468,468,355000,11880,62.3,23.15,7.24,3.61,3.7,0
196,5.5,518,465,466,365000,11802,61.4,24.12,7.46,3.41,3.61,0
192,5.5,517,466,467,365000,11880,60.37,25.05,7.35,3.42,3.81,0
195,5,518,465,466,365000,11801,61.99,23.58,7.57,3.58,3.26,0
200,5.7,519,466,467,370000,11958,61.3,24.24,7.5,3.39,3.56,1
190,5.1,518,466,466,360000,11880,62.13,23,7.59,3.58,3.67,0
190,5.6,519,467,467,365000,11881,63.13,22.28,7.29,3.58,3.76,0
190,4.9,518,465,466,360000,11725,62.49,23.74,7.34,3.2,3.26,0
196,5.5,517,465,466,365000,11880,60.95,24.1,7.72,3.45,3.78,0
192,5.2,517,464,465,365000,11802,61.13,24.85,7.27,3.51,3.25,0
190,5.1,517,464,464,365000,11802,61.2,25,7.42,3.17,3.21,0
197,5.3,517,466,466,365000,11801,61.31,24.31,7.5,3.34,3.55,0
200,5.5,518,466,465,365000,11881,61.17,23.94,7.56,3.57,3.72,1
190,4.9,518,465,466,360000,11725,62.5,23.72,7.34,3.2,3.28,0
195,5,518,464,465,365000,11801,61.95,23.87,7.35,3.56,3.27,0
190,4.9,518,465,466,365000,11802,62.76,23.32,7.43,3.22,3.28,0
190,4.6,518,464,465,360000,11725,63.25,22.78,7.23,3.44,3.27,0
198,5.6,519,467,467,370000,11802,60.99,24.6,7.53,3.58,3.27,0
190,4.5,518,464,465,360000,11725,64.23,21.71,7.35,3.48,3.24,0
195,5.5,519,467,467,370000,11802,60.73,25.02,7.39,3.6,3.28,0
195,5,517,464,465,365000,11880,61.57,23.62,7.41,3.44,3.93,0
195,5.2,518,466,466,366000,11802,62.91,22.53,7.71,3.6,3.28,0
195,5,518,464,465,365000,11801,61.97,23.86,7.35,3.56,3.26,0
200,5.4,517,465,465,370000,11880,61.72,23.6,7.33,3.45,3.88,1
190,4.8,519,464,465,360000,11725,63.7,22.33,7.22,3.49,3.25,0
198,5.4,517,466,467,365000,11802,60.88,24.71,7.41,3.4,3.59,0
195,5,518,465,466,365000,11801,62.01,23.59,7.57,3.58,3.25,0
195,5.2,518,464,465,365000,11880,62.26,22.92,7.77,3.42,3.66,0
198,5,518,464,465,370000,11881,63.4,21.5,7.61,3.6,3.92,0
196,5.5,517,465,466,365000,11880,60.96,24.11,7.72,3.45,3.77,0
198,5,519,464,464,365000,11880,63.68,21.38,7.5,3.48,3.98,0
198,5.6,519,467,467,370000,11802,60.98,24.6,7.56,3.57,3.28,0
200,5.3,519,467,468,370000,11881,62.3,22.75,7.5,3.59,3.89,1
200,5.4,517,465,465,370000,11880,61.74,23.61,7.33,3.45,3.88,1
195,5.1,518,465,466,365000,11801,64.31,21.74,7.19,3.55,3.23,0
195,5.1,518,465,466,365000,11801,64.3,21.72,7.17,3.54,3.24,0
200,5.6,518,465,466,370000,11881,60.91,24.08,7.6,3.49,3.94,1
190,4.9,518,465,466,365000,11802,62.75,23.33,7.42,3.24,3.28,0
198,5.4,517,466,467,365000,11802,60.91,24.73,7.4,3.37,3.61,0
200,5.3,519,467,468,370000,11881,62.32,22.74,7.5,3.58,3.88,1
190,5.2,517,464,465,360000,11801,61.1,24.91,7.31,3.44,3.26,0
190,4.6,518,464,465,360000,11725,63.24,22.79,7.24,3.44,3.26,0
190,4.5,518,464,465,360000,11725,64.22,21.73,7.34,3.48,3.24,0
190,5.2,517,464,465,360000,11801,61.09,24.91,7.3,3.46,3.26,0
190,5,516,463,464,360000,11802,61.5,24.57,7.44,3.21,3.28,0
200,5.9,518,465,466,370000,11658,59.76,26.35,6.96,3.38,3.53,1
198,5.4,517,466,467,365000,11802,60.9,24.73,7.39,3.37,3.59,0
195,5,517,464,465,365000,11880,61.55,23.62,7.4,3.44,3.98,0
190,5.6,519,467,467,365000,11881,63.13,22.26,7.31,3.6,3.76,0
198,5,518,464,465,370000,11881,63.4,21.51,7.59,3.6,3.9,0
200,5.5,519,466,467,370000,11881,62.08,22.97,7.43,3.61,3.9,1
200,5.9,518,465,466,370000,11658,59.78,26.37,6.95,3.38,3.54,1
192,5.2,517,464,465,365000,11802,61.13,24.84,7.25,3.5,3.27,0
200,5.5,518,466,466,365000,11881,61.75,22.97,7.9,3.58,3.79,1
195,5.2,518,466,466,366000,11802,62.89,22.52,7.7,3.6,3.27,0
195,5,517,464,465,365000,11880,61.56,23.62,7.4,3.48,3.96,0
